hash,p,d,q,P,D,Q,s,AIC,MACAPE
10831,0.0,0.0,2.0,1.0,2.0,3.0,12.0,,
62989,0.0,0.0,2.0,2.0,0.0,0.0,12.0,,
63900,0.0,0.0,2.0,2.0,0.0,1.0,12.0,,
64811,0.0,0.0,2.0,2.0,0.0,2.0,12.0,,
65722,0.0,0.0,2.0,2.0,0.0,3.0,12.0,,
92758,0.0,0.0,2.0,2.0,1.0,0.0,12.0,,2.0
93669,0.0,0.0,2.0,2.0,1.0,1.0,12.0,,2.0
94580,0.0,0.0,2.0,2.0,1.0,2.0,12.0,,
95491,0.0,0.0,2.0,2.0,1.0,3.0,12.0,,
22508,0.0,0.0,2.0,2.0,2.0,0.0,12.0,,2.0
23419,0.0,0.0,2.0,2.0,2.0,1.0,12.0,,2.0
24330,0.0,0.0,2.0,2.0,2.0,2.0,12.0,,
25241,0.0,0.0,2.0,2.0,2.0,3.0,12.0,,
77399,0.0,0.0,2.0,3.0,0.0,0.0,12.0,,
78310,0.0,0.0,2.0,3.0,0.0,1.0,12.0,,
79221,0.0,0.0,2.0,3.0,0.0,2.0,12.0,,
80132,0.0,0.0,2.0,3.0,0.0,3.0,12.0,,
7149,0.0,0.0,2.0,3.0,1.0,0.0,12.0,,2.0
8060,0.0,0.0,2.0,3.0,1.0,1.0,12.0,,2.0
8971,0.0,0.0,2.0,3.0,1.0,2.0,12.0,,
9882,0.0,0.0,2.0,3.0,1.0,3.0,12.0,,
36918,0.0,0.0,2.0,3.0,2.0,0.0,12.0,,
37829,0.0,0.0,2.0,3.0,2.0,1.0,12.0,,
38740,0.0,0.0,2.0,3.0,2.0,2.0,12.0,,
39651,0.0,0.0,2.0,3.0,2.0,3.0,12.0,,
59190,0.0,0.0,3.0,0.0,0.0,0.0,12.0,,
60101,0.0,0.0,3.0,0.0,0.0,1.0,12.0,,
61012,0.0,0.0,3.0,0.0,0.0,2.0,12.0,,
61923,0.0,0.0,3.0,0.0,0.0,3.0,12.0,,
88959,0.0,0.0,3.0,0.0,1.0,0.0,12.0,,2.0
89870,0.0,0.0,3.0,0.0,1.0,1.0,12.0,,2.0
90781,0.0,0.0,3.0,0.0,1.0,2.0,12.0,,
91692,0.0,0.0,3.0,0.0,1.0,3.0,12.0,,
18709,0.0,0.0,3.0,0.0,2.0,0.0,12.0,,2.0
19620,0.0,0.0,3.0,0.0,2.0,1.0,12.0,,2.0
20531,0.0,0.0,3.0,0.0,2.0,2.0,12.0,,
21442,0.0,0.0,3.0,0.0,2.0,3.0,12.0,,
73600,0.0,0.0,3.0,1.0,0.0,0.0,12.0,,
74511,0.0,0.0,3.0,1.0,0.0,1.0,12.0,,
75422,0.0,0.0,3.0,1.0,0.0,2.0,12.0,,
76333,0.0,0.0,3.0,1.0,0.0,3.0,12.0,,
3350,0.0,0.0,3.0,1.0,1.0,0.0,12.0,,2.0
4261,0.0,0.0,3.0,1.0,1.0,1.0,12.0,,2.0
5172,0.0,0.0,3.0,1.0,1.0,2.0,12.0,,
6083,0.0,0.0,3.0,1.0,1.0,3.0,12.0,,
33119,0.0,0.0,3.0,1.0,2.0,0.0,12.0,,2.0
34030,0.0,0.0,3.0,1.0,2.0,1.0,12.0,,2.0
34941,0.0,0.0,3.0,1.0,2.0,2.0,12.0,,
35852,0.0,0.0,3.0,1.0,2.0,3.0,12.0,,
88010,0.0,0.0,3.0,2.0,0.0,0.0,12.0,,
88921,0.0,0.0,3.0,2.0,0.0,1.0,12.0,,
89832,0.0,0.0,3.0,2.0,0.0,2.0,12.0,,
90743,0.0,0.0,3.0,2.0,0.0,3.0,12.0,,
17760,0.0,0.0,3.0,2.0,1.0,0.0,12.0,,2.0
18671,0.0,0.0,3.0,2.0,1.0,1.0,12.0,,2.0
19582,0.0,0.0,3.0,2.0,1.0,2.0,12.0,,
20493,0.0,0.0,3.0,2.0,1.0,3.0,12.0,,
47529,0.0,0.0,3.0,2.0,2.0,0.0,12.0,,2.0
48440,0.0,0.0,3.0,2.0,2.0,1.0,12.0,,2.0
49351,0.0,0.0,3.0,2.0,2.0,2.0,12.0,,
50262,0.0,0.0,3.0,2.0,2.0,3.0,12.0,,
2401,0.0,0.0,3.0,3.0,0.0,0.0,12.0,,
3312,0.0,0.0,3.0,3.0,0.0,1.0,12.0,,
4223,0.0,0.0,3.0,3.0,0.0,2.0,12.0,,
5134,0.0,0.0,3.0,3.0,0.0,3.0,12.0,,
32170,0.0,0.0,3.0,3.0,1.0,0.0,12.0,,2.0
33081,0.0,0.0,3.0,3.0,1.0,1.0,12.0,,2.0
33992,0.0,0.0,3.0,3.0,1.0,2.0,12.0,,
34903,0.0,0.0,3.0,3.0,1.0,3.0,12.0,,
61939,0.0,0.0,3.0,3.0,2.0,0.0,12.0,,
62850,0.0,0.0,3.0,3.0,2.0,1.0,12.0,,
63761,0.0,0.0,3.0,3.0,2.0,2.0,12.0,,
64672,0.0,0.0,3.0,3.0,2.0,3.0,12.0,,
73945,0.0,1.0,0.0,0.0,0.0,0.0,12.0,,
74856,0.0,1.0,0.0,0.0,0.0,1.0,12.0,2418.78678344,0.141533428081
75767,0.0,1.0,0.0,0.0,0.0,2.0,12.0,2399.32194839,0.128582804631
76678,0.0,1.0,0.0,0.0,0.0,3.0,12.0,,
3695,0.0,1.0,0.0,0.0,1.0,0.0,12.0,,
4606,0.0,1.0,0.0,0.0,1.0,1.0,12.0,2077.64275601,0.109890949847
5517,0.0,1.0,0.0,0.0,1.0,2.0,12.0,,
6428,0.0,1.0,0.0,0.0,1.0,3.0,12.0,,
33464,0.0,1.0,0.0,0.0,2.0,0.0,12.0,,
34375,0.0,1.0,0.0,0.0,2.0,1.0,12.0,1871.91017908,0.145751604165
35286,0.0,1.0,0.0,0.0,2.0,2.0,12.0,,
36197,0.0,1.0,0.0,0.0,2.0,3.0,12.0,,
88355,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2387.13712963,0.121500461549
89266,0.0,1.0,0.0,1.0,0.0,1.0,12.0,2365.35528312,0.112580070705
90177,0.0,1.0,0.0,1.0,0.0,2.0,12.0,2367.61622618,0.112402471072
91088,0.0,1.0,0.0,1.0,0.0,3.0,12.0,,
18105,0.0,1.0,0.0,1.0,1.0,0.0,12.0,2086.09541315,0.114909431914
19016,0.0,1.0,0.0,1.0,1.0,1.0,12.0,2078.48271928,0.109039936185
19927,0.0,1.0,0.0,1.0,1.0,2.0,12.0,,
20838,0.0,1.0,0.0,1.0,1.0,3.0,12.0,,
47874,0.0,1.0,0.0,1.0,2.0,0.0,12.0,1902.69145932,0.16587063831
48785,0.0,1.0,0.0,1.0,2.0,1.0,12.0,1874.26073265,0.133938951897
49696,0.0,1.0,0.0,1.0,2.0,2.0,12.0,,
50607,0.0,1.0,0.0,1.0,2.0,3.0,12.0,,
2746,0.0,1.0,0.0,2.0,0.0,0.0,12.0,2380.74108839,0.114012869116
3657,0.0,1.0,0.0,2.0,0.0,1.0,12.0,2367.35457819,0.112687093564
4568,0.0,1.0,0.0,2.0,0.0,2.0,12.0,,
5479,0.0,1.0,0.0,2.0,0.0,3.0,12.0,,
32515,0.0,1.0,0.0,2.0,1.0,0.0,12.0,2082.73205956,0.112368177061
33426,0.0,1.0,0.0,2.0,1.0,1.0,12.0,2079.57467139,0.10897341047
34337,0.0,1.0,0.0,2.0,1.0,2.0,12.0,,
35248,0.0,1.0,0.0,2.0,1.0,3.0,12.0,,
62284,0.0,1.0,0.0,2.0,2.0,0.0,12.0,1885.48781441,0.144312004208
63195,0.0,1.0,0.0,2.0,2.0,1.0,12.0,1872.19534565,0.134649903384
64106,0.0,1.0,0.0,2.0,2.0,2.0,12.0,,
65017,0.0,1.0,0.0,2.0,2.0,3.0,12.0,,
17156,0.0,1.0,0.0,3.0,0.0,0.0,12.0,2376.75147082,0.112241102811
18067,0.0,1.0,0.0,3.0,0.0,1.0,12.0,2369.57185127,0.112654587025
18978,0.0,1.0,0.0,3.0,0.0,2.0,12.0,,
19889,0.0,1.0,0.0,3.0,0.0,3.0,12.0,,
46925,0.0,1.0,0.0,3.0,1.0,0.0,12.0,2081.4508227,0.110485475634
47836,0.0,1.0,0.0,3.0,1.0,1.0,12.0,2080.26161026,0.108812496847
48747,0.0,1.0,0.0,3.0,1.0,2.0,12.0,,
49658,0.0,1.0,0.0,3.0,1.0,3.0,12.0,,
76694,0.0,1.0,0.0,3.0,2.0,0.0,12.0,1879.82877073,0.138008921857
77605,0.0,1.0,0.0,3.0,2.0,1.0,12.0,1873.13296283,0.134234433194
78516,0.0,1.0,0.0,3.0,2.0,2.0,12.0,1888.67514922,0.134037156965
79427,0.0,1.0,0.0,3.0,2.0,3.0,12.0,,
98966,0.0,1.0,1.0,0.0,0.0,0.0,12.0,2437.84696932,0.149238028722
99877,0.0,1.0,1.0,0.0,0.0,1.0,12.0,2413.73812691,0.141502810866
769,0.0,1.0,1.0,0.0,0.0,2.0,12.0,2406.26708576,0.13037227617
1680,0.0,1.0,1.0,0.0,0.0,3.0,12.0,,
28716,0.0,1.0,1.0,0.0,1.0,0.0,12.0,2097.41654695,0.122864230546
29627,0.0,1.0,1.0,0.0,1.0,1.0,12.0,2075.08496277,0.110085988063
30538,0.0,1.0,1.0,0.0,1.0,2.0,12.0,,
31449,0.0,1.0,1.0,0.0,1.0,3.0,12.0,,
58485,0.0,1.0,1.0,0.0,2.0,0.0,12.0,1932.63200677,-0.135092406838
59396,0.0,1.0,1.0,0.0,2.0,1.0,12.0,1890.7113022,0.154912328125
60307,0.0,1.0,1.0,0.0,2.0,2.0,12.0,,
61218,0.0,1.0,1.0,0.0,2.0,3.0,12.0,,
13357,0.0,1.0,1.0,1.0,0.0,0.0,12.0,2397.93038521,0.120528343944
14268,0.0,1.0,1.0,1.0,0.0,1.0,12.0,2365.5324193,0.108324567324
15179,0.0,1.0,1.0,1.0,0.0,2.0,12.0,2390.06649921,0.109736410608
16090,0.0,1.0,1.0,1.0,0.0,3.0,12.0,,
43126,0.0,1.0,1.0,1.0,1.0,0.0,12.0,2080.24714138,0.112880363775
44037,0.0,1.0,1.0,1.0,1.0,1.0,12.0,2076.6954768,0.108938201886
44948,0.0,1.0,1.0,1.0,1.0,2.0,12.0,,
45859,0.0,1.0,1.0,1.0,1.0,3.0,12.0,,
72895,0.0,1.0,1.0,1.0,2.0,0.0,12.0,1904.0745459,0.171221351818
73806,0.0,1.0,1.0,1.0,2.0,1.0,12.0,1890.08201281,0.140700110431
74717,0.0,1.0,1.0,1.0,2.0,2.0,12.0,,
75628,0.0,1.0,1.0,1.0,2.0,3.0,12.0,,
27767,0.0,1.0,1.0,2.0,0.0,0.0,12.0,2392.47193757,0.110069889622
28678,0.0,1.0,1.0,2.0,0.0,1.0,12.0,2390.01381766,0.109567261437
29589,0.0,1.0,1.0,2.0,0.0,2.0,12.0,,
30500,0.0,1.0,1.0,2.0,0.0,3.0,12.0,,
57536,0.0,1.0,1.0,2.0,1.0,0.0,12.0,2079.22434186,0.112022662237
58447,0.0,1.0,1.0,2.0,1.0,1.0,12.0,2078.68686423,0.10900696728
59358,0.0,1.0,1.0,2.0,1.0,2.0,12.0,,
60269,0.0,1.0,1.0,2.0,1.0,3.0,12.0,,
87305,0.0,1.0,1.0,2.0,2.0,0.0,12.0,1894.82651403,0.148446273254
88216,0.0,1.0,1.0,2.0,2.0,1.0,12.0,1891.3459793,0.140319574177
89127,0.0,1.0,1.0,2.0,2.0,2.0,12.0,,
90038,0.0,1.0,1.0,2.0,2.0,3.0,12.0,,
42177,0.0,1.0,1.0,3.0,0.0,0.0,12.0,2392.24590371,0.109064869518
43088,0.0,1.0,1.0,3.0,0.0,1.0,12.0,2392.00705262,0.109509970457
43999,0.0,1.0,1.0,3.0,0.0,2.0,12.0,,
44910,0.0,1.0,1.0,3.0,0.0,3.0,12.0,,
71946,0.0,1.0,1.0,3.0,1.0,0.0,12.0,2080.03194359,0.110786006682
72857,0.0,1.0,1.0,3.0,1.0,1.0,12.0,2080.5173624,0.108909494718
73768,0.0,1.0,1.0,3.0,1.0,2.0,12.0,,
74679,0.0,1.0,1.0,3.0,1.0,3.0,12.0,,
1696,0.0,1.0,1.0,3.0,2.0,0.0,12.0,1893.56149329,0.143115538075
2607,0.0,1.0,1.0,3.0,2.0,1.0,12.0,1893.32477406,0.140125640832
3518,0.0,1.0,1.0,3.0,2.0,2.0,12.0,1895.0969168,0.13891047984
4429,0.0,1.0,1.0,3.0,2.0,3.0,12.0,,
23968,0.0,1.0,2.0,0.0,0.0,0.0,12.0,2435.25744975,0.148880032022
24879,0.0,1.0,2.0,0.0,0.0,1.0,12.0,2415.82485224,0.142349262879
25790,0.0,1.0,2.0,0.0,0.0,2.0,12.0,2408.64502136,0.129586800464
26701,0.0,1.0,2.0,0.0,0.0,3.0,12.0,,
53737,0.0,1.0,2.0,0.0,1.0,0.0,12.0,2099.26446121,0.122913667127
54648,0.0,1.0,2.0,0.0,1.0,1.0,12.0,2077.25446594,0.110075630941
