hash,p,d,q,P,D,Q,s,AIC,MACAPE
95901,0.0,1.0,3.0,1.0,1.0,3.0,12.0,-1580.0491876,0.00104723361101
77809,0.0,1.0,3.0,2.0,0.0,0.0,12.0,-1657.36019924,0.00100917505158
78720,0.0,1.0,3.0,2.0,0.0,1.0,12.0,-1654.43708192,0.000990276239079
79631,0.0,1.0,3.0,2.0,0.0,2.0,12.0,-1656.48938865,0.000996301453374
80542,0.0,1.0,3.0,2.0,0.0,3.0,12.0,,
7559,0.0,1.0,3.0,2.0,1.0,0.0,12.0,-1585.39387847,0.00103280496771
8470,0.0,1.0,3.0,2.0,1.0,1.0,12.0,-1583.72252498,0.00102454409744
9381,0.0,1.0,3.0,2.0,1.0,2.0,12.0,-1579.45264487,0.00102363780372
10292,0.0,1.0,3.0,2.0,1.0,3.0,12.0,-1574.50653566,0.00106531588918
92219,0.0,1.0,3.0,3.0,0.0,0.0,12.0,-1655.03490314,0.0010024528751
93130,0.0,1.0,3.0,3.0,0.0,1.0,12.0,-1651.13441639,0.000981620412023
94041,0.0,1.0,3.0,3.0,0.0,2.0,12.0,-1658.17682009,0.000989231257627
94952,0.0,1.0,3.0,3.0,0.0,3.0,12.0,,
21969,0.0,1.0,3.0,3.0,1.0,0.0,12.0,-1587.88983324,0.0009939952938
22880,0.0,1.0,3.0,3.0,1.0,1.0,12.0,-1587.16595665,0.0009915500805
23791,0.0,1.0,3.0,3.0,1.0,2.0,12.0,-1585.18746964,0.000993170745377
24702,0.0,1.0,3.0,3.0,1.0,3.0,12.0,-1575.70560484,0.00104757781483
63744,0.0,2.0,0.0,0.0,0.0,0.0,12.0,,
64655,0.0,2.0,0.0,0.0,0.0,1.0,12.0,-1065.50690664,0.00403618738949
65566,0.0,2.0,0.0,0.0,0.0,2.0,12.0,-1118.20180065,0.0034762005583
66477,0.0,2.0,0.0,0.0,0.0,3.0,12.0,,
93513,0.0,2.0,0.0,0.0,1.0,0.0,12.0,,
94424,0.0,2.0,0.0,0.0,1.0,1.0,12.0,-1379.6282965,0.00386581238362
95335,0.0,2.0,0.0,0.0,1.0,2.0,12.0,-1375.9153438,0.00388303420414
96246,0.0,2.0,0.0,0.0,1.0,3.0,12.0,-1370.7681516,0.00390912756958
78154,0.0,2.0,0.0,1.0,0.0,0.0,12.0,-1416.16410596,0.00175541036802
79065,0.0,2.0,0.0,1.0,0.0,1.0,12.0,-1463.99576315,0.00168246587026
79976,0.0,2.0,0.0,1.0,0.0,2.0,12.0,-1460.8742138,0.00166417406755
80887,0.0,2.0,0.0,1.0,0.0,3.0,12.0,,
7904,0.0,2.0,0.0,1.0,1.0,0.0,12.0,-1402.02752338,0.00383952881334
8815,0.0,2.0,0.0,1.0,1.0,1.0,12.0,-1377.55920567,0.0038672323374
9726,0.0,2.0,0.0,1.0,1.0,2.0,12.0,-1396.1817788,0.00383270884847
10637,0.0,2.0,0.0,1.0,1.0,3.0,12.0,-1408.05685975,0.00378957276512
93475,0.0,2.0,0.0,2.0,0.0,1.0,12.0,-1457.00469714,0.00173065155091
94386,0.0,2.0,0.0,2.0,0.0,2.0,12.0,-1460.19338501,0.00168767096184
95297,0.0,2.0,0.0,2.0,0.0,3.0,12.0,,
22314,0.0,2.0,0.0,2.0,1.0,0.0,12.0,-1391.72160765,0.00384571904884
23225,0.0,2.0,0.0,2.0,1.0,1.0,12.0,-1374.06684992,0.00386939317655
24136,0.0,2.0,0.0,2.0,1.0,2.0,12.0,-1364.43214054,0.00393550649908
